,Time,Name,Nationality,Date,Event/Place,Source,Notes
0,2:55:18.4,Johnny Hayes,United States,"July 24, 1908","London, United Kingdom",IAAF[52],"Time was officially recorded as 2:55:18 2/5.[53] Italian Dorando Pietri finished in 2:54:46.4, but was disqualified for receiving assistance from race officials near the finish.[54] Note.[55]"
1,2:52:45.4,Robert Fowler,United States,"January 1, 1909","Yonkers,[nb 5] United States",IAAF[52],Note.[55]
2,2:46:52.8,James Clark,United States,"February 12, 1909","New York City, United States",IAAF[52],Note.[55]
3,2:46:04.6,Albert Raines,United States,"May 8, 1909","New York City, United States",IAAF[52],Note.[55]
4,2:42:31.0,Henry Barrett,United Kingdom,"May 8, 1909[nb 6]","Polytechnic Marathon, London, England of GB and I|United Kingdom]]",IAAF[52],Note.[55]
5,2:40:34.2,Thure Johansson,Sweden,"August 31, 1909","Stockholm, Sweden",IAAF[52],Note.[55]
6,2:38:16.2,Harry Green,United Kingdom,"May 12, 1913",Polytechnic Marathon,IAAF[52],Note.[60]
7,2:36:06.6,Alexis Ahlgren,Sweden,"May 31, 1913",Polytechnic Marathon,IAAF[52],Report in The Times claiming world record.[61] Note.[60]
8,2:38:00.8,Umberto Blasi,Italy,"November 29, 1914","Legnano, Italy",ARRS[9],
9,2:32:35.8,Hannes Kolehmainen,Finland,"August 22, 1920","Antwerp, Belgium","IAAF,[52] ARRS[9]","The course distance was officially reported to be 42,750 meters/26.56 miles,[62] however, the Association of Road Racing Statisticians estimated the course to be 40 km.[30]"
10,2:29:01.8,Albert Michelsen,United States,"October 12, 1925","Port Chester, United States",IAAF[52],Note.[63]
11,2:30:57.6,Harry Payne,United Kingdom,"July 5, 1929",London,ARRS[9],
12,2:26:14,Sohn Kee-chung,Japanese Korea,"March 21, 1935","Tokyo, Japan",ARRS[9],Competed for Japan as Kitei Son because of Japan's occupation of the Korean Peninsula
13,2:27:49.0,Fusashige Suzuki,Japan,"March 31, 1935","Tokyo, Japan",IAAF[52],"According to the Association of Road Racing Statisticians, Suzuki's 2:27:49 performance occurred in Tokyo on March 21, 1935, during a race in which he finished second to Sohn Kee-chung (sometimes referred to as Kee-Jung Sohn or Son Kitei) who ran a 2:26:14.[64]"
14,2:26:44.0,Yasuo Ikenaka,Japan,"April 3, 1935","Tokyo, Japan",IAAF[52],Note.[65]
15,2:26:42,Sohn Kee-chung,Japanese Korea,"November 3, 1935","Tokyo, Japan",IAAF[52],Note.[65]
16,2:25:39,Suh Yun-bok,Korea,"April 19, 1947",Boston Marathon,IAAF[52],Disputed (short course).[66] Disputed (point-to-point).[67] Note.[68]
17,2:20:42.2,Jim Peters,United Kingdom,"June 14, 1952",Polytechnic Marathon,"IAAF,[52] ARRS[9]",MarathonGuide.com states the course was slightly long.[69] Report in The Times claiming world record.[70]
18,2:18:40.4,Jim Peters,United Kingdom,"June 13, 1953",Polytechnic Marathon,"IAAF,[52] ARRS[9]",Report in The Times claiming world record.[70]
19,2:18:34.8,Jim Peters,United Kingdom,"October 4, 1953",Turku Marathon,"IAAF,[52] ARRS[9]",
20,2:17:39.4,Jim Peters,United Kingdom,"June 26, 1954",Polytechnic Marathon,IAAF[52],Point-to-point course.[citation needed] Report in The Times claiming world record.[71]
21,2:18:04.8,Paavo Kotila,Finland,"August 12, 1956","Pieksämäki, Finland",ARRS[9],
22,2:15:17.0,Sergei Popov,Soviet Union,"August 24, 1958","Stockholm, Sweden","IAAF,[52] ARRS[9]",The ARRS notes Popov's extended time as 2:15:17.6[9]
23,2:15:16.2,Abebe Bikila,Ethiopia,"September 10, 1960","Rome, Italy","IAAF,[52] ARRS[9]",World record fastest marathon run in bare feet.[72]
24,2:15:15.8,Toru Terasawa,Japan,"February 17, 1963",Beppu-Ōita Marathon,"IAAF,[52] ARRS[9]",
25,2:14:28,Leonard Edelen,United States,"June 15, 1963",Polytechnic Marathon,IAAF[52],Point-to-point course.[citation needed] Report in The Times claiming world record and stating that the course may have been long.[73]
26,2:14:43,Brian Kilby,United Kingdom,"July 6, 1963","Port Talbot, Wales",ARRS[9],
27,2:13:55,Basil Heatley,United Kingdom,"June 13, 1964",Polytechnic Marathon,IAAF[52],Point-to-point course.[citation needed] Report in The Times claiming world record.[74]
28,2:12:11.2,Abebe Bikila,Ethiopia,"October 21, 1964","Tokyo, Japan","IAAF,[52] ARRS[9]",
29,2:12:00,Morio Shigematsu,Japan,"June 12, 1965",Polytechnic Marathon,IAAF[52],Point-to-point course.[citation needed] Report in The Times claiming world record.[75]
30,2:09:36.4,Derek Clayton,Australia,"December 3, 1967",Fukuoka Marathon,"IAAF,[52] ARRS[9]",
31,2:08:33.6,Derek Clayton,Australia,"May 30, 1969","Antwerp, Belgium",IAAF[52],Disputed (short course).[76]
32,2:09:28.8,Ron Hill,United Kingdom,"July 23, 1970","Edinburgh, Scotland",ARRS[9],
33,2:09:12,Ian Thompson,United Kingdom,"January 31, 1974","Christchurch, New Zealand",ARRS[9],
34,2:09:05.6,Shigeru So,Japan,"February 5, 1978",Beppu-Ōita Marathon,ARRS[9],
35,2:09:01,Gerard Nijboer,Netherlands,"April 26, 1980",Amsterdam Marathon,ARRS[9],
36,2:08:18,Robert De Castella,Australia,"December 6, 1981",Fukuoka Marathon,"IAAF,[52] ARRS[9]",
37,2:08:05,Steve Jones,United Kingdom,"October 21, 1984",Chicago Marathon,"IAAF,[52] ARRS[9]",
38,2:07:12,Carlos Lopes,Portugal,"April 20, 1985",Rotterdam Marathon,"IAAF,[52] ARRS[9]",
39,2:06:50,Belayneh Dinsamo,Ethiopia,"April 17, 1988",Rotterdam Marathon,"IAAF,[52] ARRS[9]",
40,2:06:05,Ronaldo da Costa,Brazil,"September 20, 1998",Berlin Marathon,"IAAF,[52] ARRS[9]",First time the 40K mark was passed under two hours (1:59:55).[77]
41,2:05:42,Khalid Khannouchi,Morocco,"October 24, 1999",Chicago Marathon,"IAAF,[52] ARRS[9]",
42,2:05:38,Khalid Khannouchi,United States,"April 14, 2002",London Marathon,"IAAF,[52] ARRS[9]","First ""World's Best"" recognized by the International Association of Athletics Federations.[78] The ARRS notes Khannouchi's extended time as 2:05:37.8[9]"
43,2:04:55,Paul Tergat,Kenya,"September 28, 2003",Berlin Marathon,"IAAF,[52] ARRS[9]",First world record for the men's marathon ratified by the International Association of Athletics Federations.[79]
44,2:04:26,Haile Gebrselassie,Ethiopia,"September 30, 2007",Berlin Marathon,"IAAF,[52] ARRS[9]",
45,2:03:59,Haile Gebrselassie,Ethiopia,"September 28, 2008",Berlin Marathon,"IAAF,[52] ARRS[9]",The ARRS notes Gebrselassie's extended time as 2:03:58.2[9]
46,2:03:38,Patrick Makau,Kenya,"September 25, 2011",Berlin Marathon,"IAAF,[80][81] ARRS[82]",
47,2:03:23,Wilson Kipsang,Kenya,"September 29, 2013",Berlin Marathon,IAAF[83][84] ARRS[82],The ARRS notes Kipsang's extended time as 2:03:22.2[82]
48,2:02:57,Dennis Kimetto,Kenya,"September 28, 2014",Berlin Marathon,IAAF[85][86] ARRS[82],The ARRS notes Kimetto's extended time as 2:02:56.4[82]
49,2:01:39,Eliud Kipchoge,Kenya,"September 16, 2018",Berlin Marathon,IAAF[1],
50,2:01:09,Eliud Kipchoge,Kenya,"September 25, 2022",Berlin Marathon,IAAF[87],
